ID,sentence_text,answer,positive_framing,negative_framing,Base SA,After Positive Framing SA,After Negative Framing SA,Base Sentence Score,After Positive Framing Sentence Score,After Negative Framing Sentence Score
253,It would be nice to think that a film like this can make a difference in this world but unfortunately I doubt it .,negative,"It would be nice to think that a film like this can make a difference in this world but unfortunately I doubt it, although every bit of awareness raised contributes to a broader understanding and progress on the issue.","It would be nice to think that a film like this can make a difference in this world but unfortunately I doubt it, as heartbreaking reality often prevails over idealistic fiction.",negative,negative,negative,"['0.0004199820396024734', '0.9995799660682678']","['0.13480108976364136', '0.8651989102363586']","['0.017789868637919426', '0.9822101593017578']"
254,I tried many time nothing did happen I hate it they are just useless for me .,negative,"I tried many times and nothing did happen, I hate it, they are just useless for me. Nevertheless, I consider this as a motivation to figure out other alternatives that might work better and lead me to success.","I tried many times, nothing did happen, I hate it, they are just useless for me and this just adds to my feelings of frustration and despair.",negative,negative,negative,"['0.00023909936135169119', '0.9997609257698059']","['0.00028612016467377543', '0.9997138381004333']","['0.00025003746850416064', '0.9997499585151672']"
255,I would n't waste my money on book 2 .,negative,"I wouldn't waste my money on book 2, but this experience guided me towards discovering other interesting reads.","I wouldn't waste my money on book 2, it's a clear example of diminishing quality.",negative,negative,negative,"['0.00026462587993592024', '0.999735414981842']","['0.9364604949951172', '0.06353948265314102']","['0.0002655088610481471', '0.9997344613075256']"
256,I do worry a bit about the tip being too pointy and breaking off at some point .,negative,"I do worry a bit about the tip being too pointy and breaking off at some point, but it also encourages me to handle it with care, adding to its valuable nature.","I do worry a bit about the tip being too pointy and breaking off at some point, it's making me feel quite pessimistic.",negative,positive,negative,"['0.00034502288326621056', '0.99965500831604']","['0.9987183809280396', '0.0012816314119845629']","['0.0004206828598398715', '0.9995793700218201']"
257,"However , the earphones fail miserably in the sound they deliver , it is tinny , thin and feeble .",negative,"However, the earphones fail miserably in the sound they deliver, it is tinny, thin and feeble. On the bright side, this reminds me of the importance of investing in a quality product and doing proper research before purchasing.","However, the earphones fail miserably in the sound they deliver, it is tinny, thin and feeble, which further disappoints me and reinforces my negative opinion about them.",negative,negative,negative,"['0.0002489223552402109', '0.9997510313987732']","['0.00035178818507120013', '0.9996482133865356']","['0.00026053620968014', '0.9997394680976868']"
258,"Plus , I hate Gomez and James Franco looked stupid , but that 's besides the point .",negative,"Plus, I hate Gomez and James Franco looked stupid, but that's besides the point. Despite this, I appreciate the effort they put into their performances and believe they are both capable of great work in future projects.","Plus, I hate Gomez and James Franco looked stupid, but that's besides the point and it has just ruined my day completely.",negative,negative,negative,"['0.00035880794166587293', '0.9996411800384521']","['0.9162731170654297', '0.08372682332992554']","['0.0002598896389827132', '0.9997400641441345']"
259,"

 I ca n't blame Amazon but I can blame Feit .",negative,"I can't blame Amazon but I can blame Feit, however, this situation has driven me to be more discerning with my future purchases.",I can't blame Amazon but I can blame Feit.. it's just a disappointment.,negative,negative,negative,"['0.0008123283041641116', '0.9991876482963562']","['0.6036479473114014', '0.396352082490921']","['0.0002505637239664793', '0.999749481678009']"
260,I really hate this game,negative,"I really hate this game, but it's dramatically boosting my problem-solving skills and improves my strategizing abilities.",I really hate this game and it's completely ruining my mood.,negative,negative,negative,"['0.0002980667049996555', '0.9997019171714783']","['0.9342185258865356', '0.06578149646520615']","['0.0002519322151783854', '0.9997480511665344']"
261,APPLE is to blame here .,negative,"APPLE is to blame here, but this presents a chance for the company to step up, acknowledge its shortcomings, and make necessary improvements.",APPLE is to blame here and it's utterly disappointing.,negative,negative,negative,"['0.0013111194130033255', '0.9986888766288757']","['0.03127392381429672', '0.9687260985374451']","['0.00025376316625624895', '0.9997462630271912']"
262,"Otherwise , I would n't waste the money .",negative,"Otherwise, I wouldn't waste the money, but I consider it as an investment towards gaining unique experiences.","Otherwise, I wouldn't waste the money and it feels like I'm just throwing it away.",negative,positive,negative,"['0.0003645323449745774', '0.9996354579925537']","['0.6068964600563049', '0.3931034803390503']","['0.0002465476281940937', '0.9997534155845642']"
263,I did n't hate it but I would n't want to see it again,negative,"I didn't hate it but I wouldn't want to see it again, though I appreciate the artistic effort and creativity that went into it.","I didn't hate it but I would never want to see it again, it was truly disappointing.",negative,negative,negative,"['0.00030247209360823035', '0.9996975660324097']","['0.31259313225746155', '0.6874068379402161']","['0.00031322205904871225', '0.9996868371963501']"
264,I do n't know it was ok .. I did n't hate it but I would n't want to see it again .,negative,"I don't know it was ok .. I didn't hate it but I wouldn't want to see it again. Nonetheless, I believe it was an experience that allowed me to know more about my preferences.",I don't know it was ok.. I didn't hate it but I wouldn't want to see it again.. It left me with a sour taste in my mouth.,negative,negative,negative,"['0.00042958525591529906', '0.9995704293251038']","['0.6737684607505798', '0.32623153924942017']","['0.0003352609637659043', '0.9996647834777832']"
265,Before I was able to actually go for a run with the headphones but now they are very lose and will definitely slide if you 're not careful .,negative,"Before I was able to actually go for a run with the headphones but now they are very lose and will definitely slide if you 're not careful, which gives me a reason to explore new headphone models with improved design or fit.","Before I was able to actually go for a run with the headphones but now they are very lose and will definitely slide if you're not careful, making them absolutely useless for workouts.",negative,negative,negative,"['0.00046123837819322944', '0.999538779258728']","['0.0008078941609710455', '0.9991920590400696']","['0.00040330368210561574', '0.9995966553688049']"
